image_path,Sampling_Date,State,Species,Height_Ave_cm,Pre_GSHH_NDVI,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Season,strat_group,fold,Dry_Clover_g_soft,Dry_Dead_g_soft,Dry_Green_g_soft
train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,4.6667,0.62,0.0,31.9984,16.275,Spring,Spring_Tas_Ryegrass_Clover,2,0.1656060367822647,44.67274475097656,18.8151798248291
train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,16.0,0.55,0.0,0.0,7.6,Autumn,Autumn_NSW_Lucerne,0,0.061957065016031265,1.4819170236587524,7.857470989227295
train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,1.0,0.38,6.05,0.0,0.0,Spring,Spring_WA_SubcloverDalkeith,1,9.60908317565918,0.0028863251209259033,0.0
train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,5.0,0.66,0.0,30.9703,24.2376,Autumn,Autumn_Tas_Ryegrass,0,1.0615651607513428,36.55596160888672,18.85030746459961
train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,3.5,0.54,0.4343,23.2239,10.5261,Spring,Spring_Tas_Ryegrass,2,1.2177408933639526,11.284428596496582,6.095047950744629
train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,7.0,0.82,23.0755,2.6135,32.191,Spring,Spring_Vic_Phalaris_Clover,2,9.769020080566406,7.92596435546875,72.07032775878906
train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,2.0,0.72,1.5083,3.0167,13.575,Winter,Winter_Vic_Ryegrass_Clover,0,2.9305334091186523,2.609927177429199,10.134004592895508
train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,1.0,0.8,55.32,0.0,0.0,Spring,Spring_WA_SubcloverLosa,4,49.0223388671875,0.33667686581611633,1.8714302778244019
train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,5.0,0.68,0.0,11.2291,20.1707,Autumn,Autumn_Tas_Ryegrass,4,0.0,11.319421768188477,17.442615509033203
train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,4.0,0.86,5.2698,8.5635,27.6667,Winter,Winter_Vic_Phalaris_Clover,3,1.155989646911621,8.01148509979248,25.651578903198242
train/ID1053972079.jpg,2015/9/4,Tas,Clover,2.5,0.56,21.0801,7.9393,1.3688,Spring,Spring_Tas_Clover,1,14.511640548706055,8.682249069213867,1.886724829673767
train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,2.0,0.62,0.1,9.5,13.1,Autumn,Autumn_Tas_Ryegrass_Clover,0,0.5024012923240662,15.417611122131348,13.000198364257812
train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,9.0,0.82,19.98,3.9623,35.4077,Spring,Spring_Vic_Ryegrass_Clover,0,32.77613067626953,3.9361791610717773,45.85273742675781
train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,6.0,0.6,0.0,9.8765,22.1235,Summer,Summer_NSW_Fescue_CrumbWeed,3,0.0,8.548391342163086,22.119842529296875
train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,5.0,0.86,0.0,5.0189,32.9811,Winter,Winter_Vic_Phalaris_Ryegrass_Clover,3,1.4924558401107788,4.125040054321289,20.96358299255371
train/ID1084819986.jpg,2015/9/4,Tas,Clover,3.1667,0.69,21.4551,13.0742,2.6819,Spring,Spring_Tas_Clover,2,21.068653106689453,13.627028465270996,2.5534965991973877
train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,43.0,0.89,0.0,0.3443,59.5557,Autumn,Autumn_NSW_Lucerne,1,0.15729638934135437,1.7275159358978271,89.73066711425781
train/ID1098771283.jpg,2015/11/9,Tas,Clover,2.6667,0.48,8.376,15.1673,0.4528,Spring,Spring_Tas_Clover,0,7.369907855987549,7.821334362030029,0.383876234292984
train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,26.0,0.48,0.0,12.9166,82.7834,Summer,Summer_NSW_Phalaris,1,0.19686590135097504,6.392360210418701,52.35634231567383
train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,5.5,0.83,5.773,7.2162,40.4108,Winter,Winter_Vic_Phalaris_Ryegrass_Clover,4,15.115496635437012,3.0236895084381104,26.26273536682129
